Municipio,Delitos,Año,Periodo Trimestral,Trimestre,Provincia,Total,Valor trimestral,Poblacion
Sant Adrià de Besòs,Robos Con Fuerza,2025,Enero-Junio,2,Barcelona,82,47.0,39323
Sant Adrià de Besòs,Robos Con Fuerza,2025,Enero-Septiembre,3,Barcelona,148,66.0,39323
Sant Adrià de Besòs,Robos Con Violencia,2017,Enero-Marzo,1,Barcelona,54,54.0,36624
Sant Adrià de Besòs,Robos Con Violencia,2017,Enero-Junio,2,Barcelona,125,71.0,36624
Sant Adrià de Besòs,Robos Con Violencia,2017,Enero-Septiembre,3,Barcelona,203,78.0,36624
Sant Adrià de Besòs,Robos Con Violencia,2017,Enero-Diciembre,4,Barcelona,288,85.0,36624
Sant Adrià de Besòs,Robos Con Violencia,2018,Enero-Marzo,1,Barcelona,59,59.0,36669
Sant Adrià de Besòs,Robos Con Violencia,2018,Enero-Junio,2,Barcelona,122,63.0,36669
Sant Adrià de Besòs,Robos Con Violencia,2018,Enero-Septiembre,3,Barcelona,212,90.0,36669
Sant Adrià de Besòs,Robos Con Violencia,2018,Enero-Diciembre,4,Barcelona,291,79.0,36669
Sant Adrià de Besòs,Robos Con Violencia,2019,Enero-Marzo,1,Barcelona,90,90.0,37097
Sant Adrià de Besòs,Robos Con Violencia,2019,Enero-Junio,2,Barcelona,172,82.0,37097
Sant Adrià de Besòs,Robos Con Violencia,2019,Enero-Septiembre,3,Barcelona,312,140.0,37097
Sant Adrià de Besòs,Robos Con Violencia,2019,Enero-Diciembre,4,Barcelona,387,75.0,37097
Sant Adrià de Besòs,Robos Con Violencia,2020,Enero-Marzo,1,Barcelona,68,68.0,37447
Sant Adrià de Besòs,Robos Con Violencia,2020,Enero-Junio,2,Barcelona,105,37.0,37447
Sant Adrià de Besòs,Robos Con Violencia,2020,Enero-Septiembre,3,Barcelona,167,62.0,37447
Sant Adrià de Besòs,Robos Con Violencia,2020,Enero-Diciembre,4,Barcelona,227,60.0,37447
Sant Adrià de Besòs,Robos Con Violencia,2021,Enero-Marzo,1,Barcelona,79,79.0,37283
Sant Adrià de Besòs,Robos Con Violencia,2021,Enero-Junio,2,Barcelona,136,57.0,37283
Sant Adrià de Besòs,Robos Con Violencia,2021,Enero-Septiembre,3,Barcelona,197,61.0,37283
Sant Adrià de Besòs,Robos Con Violencia,2021,Enero-Diciembre,4,Barcelona,256,59.0,37283
Sant Adrià de Besòs,Robos Con Violencia,2022,Enero-Marzo,1,Barcelona,62,62.0,36918
Sant Adrià de Besòs,Robos Con Violencia,2022,Enero-Junio,2,Barcelona,131,69.0,36918
Sant Adrià de Besòs,Robos Con Violencia,2022,Enero-Septiembre,3,Barcelona,221,90.0,36918
Sant Adrià de Besòs,Robos Con Violencia,2022,Enero-Diciembre,4,Barcelona,286,65.0,36918
Sant Adrià de Besòs,Robos Con Violencia,2023,Enero-Marzo,1,Barcelona,50,50.0,37925
Sant Adrià de Besòs,Robos Con Violencia,2023,Enero-Junio,2,Barcelona,102,52.0,37925
Sant Adrià de Besòs,Robos Con Violencia,2023,Enero-Septiembre,3,Barcelona,165,63.0,37925
Sant Adrià de Besòs,Robos Con Violencia,2023,Enero-Diciembre,4,Barcelona,234,69.0,37925
Sant Adrià de Besòs,Robos Con Violencia,2024,Enero-Marzo,1,Barcelona,65,65.0,38490
Sant Adrià de Besòs,Robos Con Violencia,2024,Enero-Junio,2,Barcelona,143,78.0,38490
Sant Adrià de Besòs,Robos Con Violencia,2024,Enero-Septiembre,3,Barcelona,225,82.0,38490
Sant Adrià de Besòs,Robos Con Violencia,2024,Enero-Diciembre,4,Barcelona,295,70.0,38490
Sant Adrià de Besòs,Robos Con Violencia,2025,Enero-Marzo,1,Barcelona,83,83.0,39323
Sant Adrià de Besòs,Robos Con Violencia,2025,Enero-Junio,2,Barcelona,188,105.0,39323
Sant Adrià de Besòs,Robos Con Violencia,2025,Enero-Septiembre,3,Barcelona,269,81.0,39323
Sant Adrià de Besòs,Secuestro,2017,Enero-Marzo,1,Barcelona,0,0.0,36624
Sant Adrià de Besòs,Secuestro,2017,Enero-Junio,2,Barcelona,0,0.0,36624
Sant Adrià de Besòs,Secuestro,2017,Enero-Septiembre,3,Barcelona,0,0.0,36624
Sant Adrià de Besòs,Secuestro,2017,Enero-Diciembre,4,Barcelona,0,0.0,36624
Sant Adrià de Besòs,Secuestro,2018,Enero-Marzo,1,Barcelona,0,0.0,36669
Sant Adrià de Besòs,Secuestro,2018,Enero-Junio,2,Barcelona,0,0.0,36669
Sant Adrià de Besòs,Secuestro,2018,Enero-Septiembre,3,Barcelona,0,0.0,36669
Sant Adrià de Besòs,Secuestro,2018,Enero-Diciembre,4,Barcelona,0,0.0,36669
